"Index.year","Reference.year..main.","Protocol.order","Country","categoria","valor","col"
2019,2017,5,"DE","Gender.Equality.Index",66.9,"white"
2019,2017,6,"EE","Gender.Equality.Index",59.8,"black"
2019,2017,7,"IE","Gender.Equality.Index",71.3,"white"
2019,2017,8,"EL","Gender.Equality.Index",51.2,"black"
2019,2017,9,"ES","Gender.Equality.Index",70.1,"white"
2019,2017,10,"FR","Gender.Equality.Index",74.6,"white"
2019,2017,11,"HR","Gender.Equality.Index",55.6,"black"
2019,2017,12,"IT","Gender.Equality.Index",63,"black"
2019,2017,13,"CY","Gender.Equality.Index",56.3,"black"
2019,2017,14,"LV","Gender.Equality.Index",59.7,"black"
2019,2017,15,"LT","Gender.Equality.Index",55.5,"black"
2019,2017,16,"LU","Gender.Equality.Index",69.2,"white"
2019,2017,17,"HU","Gender.Equality.Index",51.9,"black"
2019,2017,18,"MT","Gender.Equality.Index",62.5,"black"
2019,2017,19,"NL","Gender.Equality.Index",72.1,"white"
2019,2017,20,"AT","Gender.Equality.Index",65.3,"black"
2019,2017,21,"PL","Gender.Equality.Index",55.2,"black"
2019,2017,22,"PT","Gender.Equality.Index",59.9,"black"
2019,2017,23,"RO","Gender.Equality.Index",54.5,"black"
2019,2017,24,"SI","Gender.Equality.Index",68.3,"white"
2019,2017,25,"SK","Gender.Equality.Index",54.1,"black"
2019,2017,26,"FI","Gender.Equality.Index",73.4,"white"
2019,2017,27,"SE","Gender.Equality.Index",83.6,"white"
2020,2018,0,"EU","Gender.Equality.Index",67.4,"white"
2020,2018,1,"BE","Gender.Equality.Index",71.4,"white"
2020,2018,2,"BG","Gender.Equality.Index",59.6,"black"
2020,2018,3,"CZ","Gender.Equality.Index",56.2,"black"
2020,2018,4,"DK","Gender.Equality.Index",77.4,"white"
2020,2018,5,"DE","Gender.Equality.Index",67.5,"white"
2020,2018,6,"EE","Gender.Equality.Index",60.7,"black"
2020,2018,7,"IE","Gender.Equality.Index",72.2,"white"
2020,2018,8,"EL","Gender.Equality.Index",52.2,"black"
2020,2018,9,"ES","Gender.Equality.Index",72,"white"
2020,2018,10,"FR","Gender.Equality.Index",75.1,"white"
2020,2018,11,"HR","Gender.Equality.Index",57.9,"black"
2020,2018,12,"IT","Gender.Equality.Index",63.5,"black"
2020,2018,13,"CY","Gender.Equality.Index",56.9,"black"
2020,2018,14,"LV","Gender.Equality.Index",60.8,"black"
2020,2018,15,"LT","Gender.Equality.Index",56.3,"black"
2020,2018,16,"LU","Gender.Equality.Index",70.3,"white"
2020,2018,17,"HU","Gender.Equality.Index",53,"black"
2020,2018,18,"MT","Gender.Equality.Index",63.4,"black"
